brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,display_size,resolution_height,OS,Generation,Core,ram,rom,hdd,ssd,GPU_Brand,os,ppi
HP,Victus 15-fb0157AX Gaming Laptop,49900,73,5th Gen AMD Ryzen i5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,5,8,512,0,512,AMD,Windows,141.2119981
HP,15s-fq5007TU Laptop,39900,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Acer,One 14 Z8-415 Laptop,26990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,14,1080,Windows 11 OS,11,3,8,512,0,512,Intel,Windows,157.3505121
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,14,1400,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,188.6796226
Apple,MacBook Air 2020 MGND3HN Laptop,69990,69.32352941,5th Gen Apple M i7 M1,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,13.3,1600,Mac OS,5,7,8,256,0,256,Others,Mac,226.9830047
Acer,Extensa EX214-53 Laptop,39990,62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,14,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,157.3505121
Dell,Inspiron 3520 D560896WIN9B Laptop,36790,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,13,5,16,512,0,512,NVIDIA,Windows,141.2119981
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Samsung,Galaxy Book2 Pro 13 Laptop,74990,68,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,13.3,1920,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,165.6321181
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,49990,69.32352941,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,7,16,512,0,512,Intel,Windows,141.2119981
Infinix,Pro NU14U3INC43BN-CS Laptop,10990,69.32352941,3rd Gen Intel Celeron i3 N4020,"Dual Core, 2 Threads",DDR4,SSD,14.1,768,Windows 11 OS,3,3,4,128,0,128,Intel,Windows,111.1413369
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,72990,76,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
Lenovo,V15 G4 ‎82YU00W7IN Laptop,29990,69.32352941,7th Gen AMD Ryzen i3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,15.6,1080,Windows 11 OS,7,3,8,512,0,512,AMD,Windows,141.2119981
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,53649,70,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,8,512,0,512,NVIDIA,Windows,141.2119981
MSI,Modern 14 C11M-031IN Laptop,33990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,14,1080,Windows 11 OS,11,3,8,512,0,512,Intel,Windows,157.3505121
Infinix,Zerobook 2023 Laptop,79990,71,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",LPDDR5X,SSD,15.6,1080,Windows 11 OS,13,9,32,1000,0,1000,Intel,Windows,141.2119981
HP,Victus 15-fa0666TX Gaming Laptop,68990,65,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,45990,71,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,8,512,0,512,NVIDIA,Windows,141.2119981
Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,49900,65,5th Gen AMD Ryzen i5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,16,1200,Windows 11 OS,5,5,8,512,0,512,AMD,Windows,141.509717
Apple,MacBook Air 2022 Laptop,104990,69.32352941,10th Gen Apple M i8 M2,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,13.6,1664,Mac OS,10,8,8,256,0,256,Others,Mac,224.5056083
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,54990,72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
HP,15s-fq2510tu Laptop,49580,64,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,16,512,0,512,Intel,Windows,141.2119981
